Analyzing near_basket...                                        

   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:168:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:174:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:176:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:181:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:186:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:188:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:189:25 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:193:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:202:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:205:18 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:211:16 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\map_discovery\screens\home_screen.dart:212:21 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:213:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:214:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:215:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:217:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:223:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:224:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:234:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:237:18 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\features\map_discovery\screens\home_screen.dart:238:19 - prefer_const_literals_to_create_immutables
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:239:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:239:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:240:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:241:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:241:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:242:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:243:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:243:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:261:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:275:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:282:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:284:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:289:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:291:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:325:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:328:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:342:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:345:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:348:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:351:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:373:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:394:31 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:394:61 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:404:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:410:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:416:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:424:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:427:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:434:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:437:27 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:440:36 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\home_screen.dart:446:27 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:21:29 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:22:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:24:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:35:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:38:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:40:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:46:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:47:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:54:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:61:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:68:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:102:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:110:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:128:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:135:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:143:29 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:155:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:157:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:166:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:169:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:177:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:180:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:181:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\offers_screen.dart:184:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:58:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:61:27 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:61:57 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:66:25 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:81:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:86:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:89:31 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:102:33 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:104:35 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:117:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:125:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:126:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:128:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:138:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:147:33 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:159:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:180:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:189:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:209:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:216:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:223:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:230:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:233:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:234:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:237:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:249:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\search_screen.dart:256:22 - prefer_const_constructors
warning - Unused import: '../models/category_model.dart' - lib\features\map_discovery\screens\shop_details_view.dart:5:8 - unused_import
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:27:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:27:29 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:79:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:100:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:107:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:114:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:132:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:156:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:159:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:160:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:163:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:169:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:170:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:171:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:174:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:181:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:186:29 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:187:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:191:34 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:199:19 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:231:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:242:31 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:264:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:264:37 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:290:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:291:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:303:31 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:329:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:330:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:339:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:359:28 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:365:11 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:372:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:379:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:382:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:388:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:393:30 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:400:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:403:32 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:418:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:423:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:425:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:434:24 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\map_discovery\screens\shop_details_view.dart:439:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:30:16 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:30:41 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:31:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\shop_dashboard\screens\analytics_screen.dart:35:18 - prefer_const_constructors
